a2-16		10/10		244.162		1.46		244.574		1.63		56.508	615
a2-20		0/10		433.583		47.84		434.24		48.07		109.902	945
a2-24		0/10		545.925		54.57		553.066		56.6		171.781	503
a3-18		10/10		246.263		2.36		246.302		2.38		77.619	1347
a3-24		10/10		277.809		0.67		277.983		0.73		146.605	1877
a3-30		10/10		426.385		0.34		433.3		1.97		176.019	1312
a3-36		10/10		496.752		0.55		501.882		1.59		260.405	3852
a4-16		10/10		223.131		0		    223.131		0		    57.182	211
a4-24		10/10		319.465		0.89		319.662		0.95		132.354	2695
a4-32		10/10		399.019		0.29		399.591		0.43		195.673	2042
a4-40		10/10		478.542		2.31		482.505		3.16		285.272	2310
a4-48		10/10		577.294		-0.85		582.691		0.08		529.511	2791
a5-40		10/10		421.128		-0.74		425.857		0.38		296.795	5865
a5-50		10/10		592.431		-1.79		597.33		-0.98		459.317	3220
